"observed_strength","hidden_strength","n_total","n_control","ps_observed_min","ps_observed_max","ps_observed_iqr","weight_cv_control","var_observed_control","var_ideal_control","epsilon_added_to_denominator","original_variance_ratio","stabilized_variance_ratio","original_R2","stabilized_R2","tau_observed","tau_ideal","tau_gap_observed_minus_ideal","original_bound","stabilized_bound","flag_good_overlap_instability","diagnostic_status","replicate","sample_size","grid_type"
0.2,0.12,300,160,0.354181200675056,0.638186626445046,0.065761129315177,0.200618721677122,0.0509750038276915,0.0713469870777512,0.000126652669927395,1.39964652712773,1.3961775795091,0.28553389686742,0.283758731928929,0.117901587227903,0.0492045904498786,0.0686969967780243,0.15910319944141,0.158607855862062,FALSE,"stable",15,300,"sample_size"
0.2,0.12,300,148,0.349028244809441,0.650811312427726,0.0675848614552336,0.220993454303058,0.0472475795918495,0.074545603455062,9.67432659541799e-05,1.57776555114628,1.57454154913053,0.366192271549166,0.364894498622658,0.0192505337065435,-0.0997099502723049,0.118960483978848,0.217627945521813,0.217241970237592,FALSE,"stable",16,300,"sample_size"
0.2,0.12,300,158,0.368454242270674,0.640331861519113,0.0687966324360205,0.180050133350922,0.0402312696679396,0.0594393735799205,0.000124101446641618,1.47744215060873,1.47289869819693,0.323154548157447,0.321066682166148,0.0695500196880467,-0.00086441673521187,0.0704144364232586,0.169422345899613,0.168874149434599,FALSE,"stable",17,300,"sample_size"
0.2,0.12,300,148,0.312500732243402,0.642277086135809,0.060833972272864,0.2197274267226,0.0429058965000246,0.0517228858179433,8.8868621082173e-05,1.20549598160508,1.20300426510649,0.17046592003689,0.168747751770042,0.239163393377068,0.128675434246096,0.110487959130973,0.11631988138968,0.115732188302935,FALSE,"stable",18,300,"sample_size"
0.2,0.12,300,157,0.374511509490231,0.629815720095842,0.0678941354024031,0.193495480676655,0.0444174632310044,0.0527378163018326,0.000118634799200027,1.18732166282338,1.18415888760766,0.157768251594047,0.155518731088286,0.143856404640022,0.0936454895461639,0.0502109150938584,0.101982023224689,0.101252363458162,FALSE,"stable",19,300,"sample_size"
0.2,0.12,300,142,0.395460986543668,0.619882980683675,0.0674451268338464,0.190845911179429,0.029380902458056,0.0365160674080926,8.06676512178853e-05,1.24285043525204,1.23944743177819,0.195397956474781,0.193188856291118,0.102679704086453,-0.0302036812535544,0.132883385340007,0.119728805147587,0.119050075564001,FALSE,"stable",20,300,"sample_size"
0.2,0.12,300,149,0.400733264687842,0.652131007654709,0.0691300345269118,0.201599773629102,0.0408442331375347,0.0544510106855316,0.00010049643738815,1.33313827933013,1.32986616961029,0.249890266070166,0.248044635729738,-0.00670824287246585,-0.0965683968626556,0.0898601539901898,0.15164544012864,0.151084393611176,FALSE,"stable",21,300,"sample_size"
0.2,0.12,300,142,0.362859655687653,0.616261450445562,0.0662813067962954,0.180838780772861,0.0269770768653612,0.0376859905862681,8.24919839695459e-05,1.39696345806306,1.39270476910057,0.284161662047671,0.281972732350289,0.0901800998515354,0.00495960342558011,0.0852204964259553,0.128310225024187,0.127815075482483,FALSE,"stable",22,300,"sample_size"
0.2,0.12,300,146,0.3561662186512,0.627384311237477,0.0629487646902552,0.2092960647548,0.0392862749491608,0.0511494535214713,8.96847757190296e-05,1.30196750869515,1.29900207839639,0.231931677771117,0.230178290988961,0.110369992603274,0.0313233324837858,0.0790466601194879,0.127801973772651,0.127317970420345,FALSE,"stable",23,300,"sample_size"
0.2,0.12,300,153,0.352089188349658,0.615554796722397,0.0779880869419286,0.210850873371154,0.0491050133185284,0.0533403374422076,0.000110452366337346,1.08625034059569,1.08381251096462,0.079401899702416,0.0773311897737992,0.237349384644376,0.162904734807035,0.0744446498373412,0.0837861703415652,0.0826864296594898,FALSE,"stable",24,300,"sample_size"
0.2,0.12,300,156,0.355283468811607,0.658553738660565,0.0692778119311514,0.196445151301903,0.0461138562189819,0.0585547734723285,0.000119494746771025,1.26978696368979,1.26650507153813,0.212466320260395,0.210425585753455,0.179550872235151,0.0972462915055758,0.082304580729575,0.119999803603707,0.119422115299438,FALSE,"stable",25,300,"sample_size"
0.2,0.12,300,152,0.339597340085596,0.646383128728083,0.0646450076401328,0.206355464544092,0.0447043938354997,0.0568929114449257,0.000104982826781619,1.27264697188998,1.26966531745611,0.214236137681667,0.212390866906884,0.204409870133519,0.116006034648386,0.0884038354851333,0.138834029616293,0.138234830016899,FALSE,"stable",26,300,"sample_size"
0.2,0.12,300,145,0.319032777176649,0.642042236774024,0.0681112657923995,0.203301213619475,0.0356689113751382,0.0476780767324553,8.6299824467261e-05,1.33668438128134,1.33345812072791,0.251880238892739,0.250070186340671,-0.154647414694522,-0.246141222942373,0.0914938082478503,0.142475297973262,0.141962449573613,FALSE,"stable",27,300,"sample_size"
