"observed_strength","hidden_strength","n_replicates","flag_rate","observed_strength_median","observed_strength_q05","observed_strength_q95","ps_observed_min_median","ps_observed_min_q05","ps_observed_min_q95","ps_observed_max_median","ps_observed_max_q05","ps_observed_max_q95","ps_observed_iqr_median","ps_observed_iqr_q05","ps_observed_iqr_q95","weight_cv_control_median","weight_cv_control_q05","weight_cv_control_q95","var_observed_control_median","var_observed_control_q05","var_observed_control_q95","var_ideal_control_median","var_ideal_control_q05","var_ideal_control_q95","epsilon_added_to_denominator_median","epsilon_added_to_denominator_q05","epsilon_added_to_denominator_q95","original_variance_ratio_median","original_variance_ratio_q05","original_variance_ratio_q95","stabilized_variance_ratio_median","stabilized_variance_ratio_q05","stabilized_variance_ratio_q95","original_R2_median","original_R2_q05","original_R2_q95","stabilized_R2_median","stabilized_R2_q05","stabilized_R2_q95","tau_observed_median","tau_observed_q05","tau_observed_q95","tau_ideal_median","tau_ideal_q05","tau_ideal_q95","tau_gap_observed_minus_ideal_median","tau_gap_observed_minus_ideal_q05","tau_gap_observed_minus_ideal_q95","original_bound_median","original_bound_q05","original_bound_q95","stabilized_bound_median","stabilized_bound_q05","stabilized_bound_q95"
0,0.06,35,1,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.00361506012129218,0.00301790047853116,0.00437770470213816,0.000100892852714024,8.39378581874371e-05,0.000116068558643833,Inf,Inf,Inf,36.3315061938133,33.8642186216271,38.4773595332186,0.999999999999,0.999999999999,0.999999999999,0.972475680070476,0.970462789490933,0.97401064291824,0.0363575915327462,-0.104914828823983,0.135697311723955,-0.00740746410960869,-0.148652530189165,0.0914115528375228,0.0443500607965441,0.04142825491502,0.0508726954200584,NA,NA,NA,0.0766412709500438,0.0684710989572937,0.0852302773955177
0.001,0.06,35,1,0.001,0.001,0.001,0.499177525363934,0.499017125445395,0.499284732351172,0.500819895438772,0.500728288250475,0.500952750890505,0.000338591966756507,0.000323670046352281,0.000351981021018255,0.00100554692281075,0.000971927650691587,0.00104114137608434,1.00958141009035e-06,9.21290819183113e-07,1.17688605473479e-06,0.00366608747083758,0.00328656716227459,0.00438629844272208,0.000100450848838781,9.1278888015068e-05,0.000117995121144472,3620.39347657911,3288.09496169407,3930.06562806446,36.1342194437664,33.1830129801762,38.7225356044979,0.999723786929109,0.99969586990595,0.999745492896805,0.972325401921128,0.969863728126756,0.974170246738498,0.0715969446073234,-0.0375637331788405,0.133425505446313,0.0262420232419671,-0.0872959614310476,0.0893683223002305,0.0456657434297073,0.0409782578944843,0.0506444287339227,0.0759929971164773,0.0689507639744143,0.0830358371086232,0.07498532954937,0.0679323555101208,0.0819490728991033
0.002,0.06,35,1,0.002,0.002,0.002,0.498324763522176,0.497949952671165,0.498536694661573,0.501665174659242,0.501495122086303,0.501978763309577,0.000669610575668833,0.000639225647597824,0.000695333336773485,0.00200900979096725,0.00193984336747538,0.00207172110043739,4.05352848698054e-06,3.52217131218047e-06,4.58558270317795e-06,0.00363390106500812,0.00318034511933697,0.00424294651519246,0.000100462008731283,8.68187231883961e-05,0.000115453057814567,887.139838364807,795.130418670145,983.681737061388,34.2346082105546,32.1545653584608,36.6860006779183,0.9988727819936,0.998742305622339,0.998983410960244,0.970789792777833,0.968900140975345,0.972740751361178,0.0207274778145108,-0.0763066889706697,0.120287789600844,-0.0229550735227104,-0.122476906766967,0.0754071220270834,0.0444627551954979,0.0406680542947524,0.0509171393653467,0.0744636392544459,0.0694623034036391,0.0823908081570624,0.0734510620393996,0.0685107630043945,0.0812447487119542
0.005,0.06,35,1,0.005,0.005,0.005,0.495805002819956,0.495008176332983,0.496340598458132,0.504171897937491,0.503680713252764,0.504835009312847,0.00166864920376664,0.00159371174731873,0.00178687125288249,0.00495464612174618,0.00481403701905219,0.00526854551363972,2.47610085595389e-05,2.14133894797049e-05,2.99737698386788e-05,0.00368421720920185,0.00301979247815943,0.00428796507989824,9.90757979433077e-05,8.58466929656111e-05,0.000118321043883211,146.628002391948,129.636217508894,159.294088016289,29.0027317063694,26.5539892556044,31.549668333451,0.993180020298395,0.992285224823645,0.993722303071114,0.965520489237902,0.962335912627476,0.968303819485387,0.0578971147834475,-0.0391753321781163,0.162675214883091,0.0125567582559136,-0.0818275200747621,0.113721542646089,0.0437354535284418,0.0392150033191561,0.0496167428402131,0.0738964983781967,0.0671365008662221,0.0812864021056248,0.0729074278846217,0.0661494662374037,0.0801873953097446
0.01,0.06,35,1,0.01,0.01,0.01,0.491566434831974,0.49018966077991,0.492802193490931,0.508474502659112,0.507283026207823,0.510875247859791,0.00337646207537212,0.00318526098240967,0.00352421044712571,0.0100433880441585,0.00964446518507413,0.0103687740672558,9.5646156163961e-05,8.4746276928336e-05,0.000113537548662854,0.0036605648332165,0.00307697027900962,0.00432017621235218,9.73511551727252e-05,8.43559745548705e-05,0.000113302401672923,37.8853554452856,33.6641395147406,40.8975556342622,18.9075929217196,17.2113091537715,19.790280936726,0.973604576537649,0.970294614895464,0.975537236453625,0.947111194738529,0.941898666833272,0.949470146074075,0.0471759753914456,-0.060344586968043,0.126575328499157,0.00182628155451314,-0.105518720799135,0.0802357964458753,0.0447734815580874,0.0408595975311392,0.0482048715183633,0.0728636993138795,0.0675594926686246,0.0808819432170996,0.0719091459177421,0.0666244690275017,0.0798131043765752
0.02,0.06,35,0.485714285714286,0.02,0.02,0.02,0.483002417873173,0.480494482343058,0.485731720967555,0.51712716916895,0.514727621164509,0.519331421962303,0.00671124213300617,0.00649024064526841,0.00691752541719703,0.0200029582431081,0.0190174247483355,0.0205749751914684,0.000405020371754525,0.000333772231619975,0.000472101413539204,0.00405380312727736,0.00343468287575184,0.00465314116181407,0.000100544918479184,8.88100864210083e-05,0.000113904433496841,10.1854297342124,9.03380368087733,11.6482645382524,8.1091979687496,7.26113763128186,9.12485272046105,0.901820539133362,0.889297187462807,0.914123940364868,0.87668324242993,0.862273976920079,0.890381164501661,0.071319118487563,-0.0252221030727772,0.106402021926726,0.0230414612247687,-0.0693418810738772,0.0603914335350623,0.0442028662333451,0.0417669311410294,0.0515697056774747,0.0761230190498668,0.0689206976205555,0.082280483785671,0.0750905530012011,0.0679082134198017,0.0812184230164337
0.05,0.06,35,0,0.05,0.05,0.05,0.458074655267209,0.450247776325905,0.465348500572596,0.541881562253241,0.536313068229182,0.551016731093944,0.0169436413726524,0.0160990314115734,0.0175622826213486,0.0499969344239703,0.0485102484115838,0.0513275569160853,0.00255271074818542,0.0021380801440098,0.00297189921760483,0.00622372190593528,0.00540639072812624,0.00718782982384733,0.000102566390735911,8.72435112791538e-05,0.00011594756772981,2.44980029917104,2.23443977269562,2.6270025982113,2.3534014411043,2.15040571057766,2.51657209530569,0.591803462372677,0.552460520134113,0.619295725636115,0.575083119040344,0.534970430802048,0.602582978691171,0.0516292142836768,-0.0320977182741674,0.155839561361244,0.00562990195657265,-0.0769136425878794,0.110646952286228,0.0447256611409641,0.0401943309663457,0.0487758596570762,0.0759614100389149,0.0693872367737191,0.0827306299337363,0.0749434323172667,0.0683612405267773,0.0816155635625546
0.1,0.06,35,0,0.1,0.1,0.1,0.414797616902181,0.400243907971712,0.42532678711411,0.583427442605057,0.570418331719663,0.59566272419676,0.0335800348715724,0.0317794801811088,0.0350665851122988,0.100165029507967,0.0961552024627024,0.104556707084728,0.00994730547186428,0.00808511920113452,0.0109439276063924,0.0134285443501683,0.0109326128113566,0.0146749723935389,9.64922909556528e-05,8.34104902830135e-05,0.000111435152819657,1.35706120214434,1.27530113515805,1.43849623870174,1.34332428623708,1.2630025888168,1.42299752941246,0.263113558607481,0.215870288587962,0.304829104750921,0.255578113010077,0.208235335070724,0.297257895343044,0.0281972706743461,-0.0523291396618868,0.133164783442846,-0.0141714891198668,-0.0996311775361105,0.0871995348115792,0.0441641675036775,0.0412345896609939,0.0483832914855839,0.0730918507842566,0.0629765883665472,0.0815721680047604,0.0721590689946973,0.061834539405876,0.0805621516124361
0.2,0.06,35,0,0.2,0.2,0.2,0.334484287301927,0.303964102842172,0.356220547175453,0.663093588151885,0.641158454150942,0.685877539418294,0.0675605033025651,0.0643551342466674,0.069592460437595,0.201600644281494,0.192444883503819,0.210327848690542,0.0411695205346066,0.0348298258806812,0.0504883106451453,0.044265188403922,0.0384195591059014,0.054943516539801,0.000102505393325371,9.08533996783421e-05,0.000116521408874621,1.08985407007813,1.05285964878865,1.12140147066433,1.08723600113484,1.05016183007093,1.11876868298405,0.0824459645975242,0.0502041443009723,0.108252810230054,0.0802364905538332,0.0477639390397547,0.106154259408368,0.0473573379653047,-0.0573815124519672,0.131866049808635,-0.00241227825298074,-0.102903560939035,0.0845749757030056,0.0452263082045188,0.0406622918125989,0.0500971165373845,0.0768465523806248,0.0604031772275707,0.0938447431327751,0.0757985024944812,0.0587989429008611,0.0928513043443512
0.4,0.06,35,0,0.4,0.4,0.4,0.204448765766982,0.17326621699703,0.230608716962381,0.789118245099347,0.774880405566058,0.834783546479884,0.134144247397311,0.130327458214377,0.138825493658453,0.406114374633335,0.390668095632024,0.429386394171281,0.16409138590438,0.144580602116259,0.199281672128543,0.166920563078042,0.146529347728041,0.203555871899111,9.78842615247146e-05,8.84203658791609e-05,0.000114270102413144,1.018812335134,0.997691805198601,1.04452595758713,1.01821068673137,0.997039592841303,1.0438748637215,0.0184649660052668,0,0.0426114636392389,0.0178849888030792,0,0.0420143499598396,0.0328835037454769,-0.0437015074259507,0.128884604871858,-0.0103848847687533,-0.0912160691122046,0.0833484169472977,0.0445419000351583,0.0411378167555613,0.0496768041162712,0.0713328495665599,0.0321376387044005,0.108622677320071,0.0701232471441421,0.0291787559186129,0.107863113398692
