"observed_strength","hidden_strength","n_total","n_control","ps_observed_min","ps_observed_max","ps_observed_iqr","weight_cv_control","var_observed_control","var_ideal_control","epsilon_added_to_denominator","original_variance_ratio","stabilized_variance_ratio","original_R2","stabilized_R2","tau_observed","tau_ideal","tau_gap_observed_minus_ideal","original_bound","stabilized_bound","flag_good_overlap_instability","diagnostic_status","replicate","epsilon_fraction","grid_type"
0,0.12,1800,893,0.5,0.5,0,0,0,0.0141625609837044,9.69367251403697e-07,Inf,14610.1087727032,0.999999999999,0.999931554239906,0.0658216211037828,-0.0266059362791933,0.092427557382976,NA,0.157235562566322,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",27,1e-06,"epsilon_fraction"
0,0.12,1800,913,0.5,0.5,0,0,0,0.0148874758053977,1.05948378749036e-06,Inf,14051.6315409245,0.999999999999,0.999928833886863,0.160642880765551,0.0785882400682751,0.0820546406972754,NA,0.154692261591119,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",28,1e-06,"epsilon_fraction"
0,0.12,1800,877,0.5,0.5,0,0,0,0.0127892041899619,9.02808802141963e-07,Inf,14166.016281209,0.999999999999,0.999929408523882,0.0346638948431207,-0.0533308279646105,0.0879947228077312,NA,0.146262611761416,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",29,1e-06,"epsilon_fraction"
0,0.12,1800,914,0.5,0.5,0,0,0,0.0157663609440322,1.06420414881095e-06,Inf,14815.1658322777,0.999999999999,0.999932501599285,0.0687671846706261,-0.0308979619682056,0.0996651466388317,NA,0.167807039947194,TRUE,"degenerate_or_near_degenerate_observed_weight_variance",30,1e-06,"epsilon_fraction"
0.001,0.12,1800,928,0.498964320858497,0.500745999548205,0.000345386075341181,0.00102775795176664,1.19623118851306e-06,0.0168772887804289,1.13248753378865e-06,14108.7182331433,7247.45698945871,0.999929121839172,0.999862020567841,0.182156672658151,0.0910085262478135,0.0911481464103376,0.162900100137251,0.162894634256287,TRUE,"unstable_good_overlap_warning",1,1e-06,"epsilon_fraction"
0.001,0.12,1800,900,0.499199655856507,0.50075636702466,0.000329210316391437,0.000979040890902027,9.58513226114082e-07,0.0139636235904159,9.99991820790976e-07,14568.003038441,7129.73582196379,0.999931356411901,0.999859742348809,-0.0593601073688609,-0.150348746660643,0.0909886392917818,0.146860122827345,0.146854863747174,TRUE,"unstable_good_overlap_warning",2,1e-06,"epsilon_fraction"
0.001,0.12,1800,886,0.499162425329675,0.500850571061837,0.000343239759646619,0.000977587734578327,8.97955731975415e-07,0.0138449666324423,9.39600932340217e-07,15418.3175622531,7534.44337325983,0.999935142080453,0.999867276194078,0.141130913565221,0.054148917425475,0.0869819961397462,0.144732186183148,0.14472727459216,TRUE,"unstable_good_overlap_warning",3,1e-06,"epsilon_fraction"
0.001,0.12,1800,916,0.49927075121596,0.500866399969074,0.000330560049373707,0.0010018523762488,1.07777991960473e-06,0.0149768978362118,1.07379807896881e-06,13896.0631607466,6960.89002868645,0.999928037172224,0.999856340209962,0.10827620106972,0.0238051413505336,0.0844710597191863,0.152256622074723,0.152251163415398,TRUE,"unstable_good_overlap_warning",4,1e-06,"epsilon_fraction"
0.001,0.12,1800,897,0.499129239203144,0.500774675732804,0.000329640510568441,0.000984955872702302,9.5730997562383e-07,0.0127132098101402,9.86777041404589e-07,13280.13927971,6539.42426382367,0.999924699584926,0.999847081339326,0.0528372926104598,-0.0261402974598182,0.0789775900702779,0.137946854646252,0.137941500542715,TRUE,"unstable_good_overlap_warning",5,1e-06,"epsilon_fraction"
0.001,0.12,1800,883,0.499101006395301,0.500941214548722,0.000331638440083104,0.000987020216659116,9.03232827012794e-07,0.0135563908238118,9.27144906506869e-07,15008.744609788,7406.33508349341,0.999933372175622,0.999864980454067,0.171647550180988,0.0827977014932044,0.0888498486877837,0.142645184478266,0.142640306194912,TRUE,"unstable_good_overlap_warning",6,1e-06,"epsilon_fraction"
